Date,Closing Price (USD),active_addresses,hash_rate,btc_left,total_addresses,difficulty,total_fees,fed_assets,GLD,IYE,SLV,SPY,TLT,UUP,NYFed_inflation,Google_popularity
2013-10-12,125.9275,66189,1887684185861040,9169075.0,19109014,812956775408060000,32.14776583,3782207.0,122.599998,47.849998,20.52,170.259995,105.459999,21.66,1.738484455,3
2013-10-13,126.38333,86718,2006000774484790,9163550.0,19154778,812956775408060000,30.80432869,3790055.0,122.599998,47.849998,20.52,170.259995,105.459999,21.66,1.738484455,3
2013-10-14,135.24199,81570,2324806042552390,9157300.0,19197695,812956775408060000,33.03670276,3797903.0,122.83000200000001,48.139998999999996,20.5,170.940002,104.610001,21.620001000000002,1.738484455,3
2013-10-15,133.20333,84704,2433638004514470,9150800.0,19243735,812956775408060000,38.64309771,3805751.0,123.730003,47.970001,20.559998999999998,169.699997,104.540001,21.700001,1.738484455,3
2013-10-16,142.76333,92553,2213540714975550,9145550.0,19294441,1149896960644220000,47.19904597,3813599.0,123.540001,48.619999,20.5,172.070007,105.849998,21.690001000000002,1.738484455,3
2013-10-17,137.92333,80595,2243164101808060,9141375.0,19337720,1149896960644220000,36.51952508,3817232.4285714286,127.41999799999999,48.740002000000004,21.049999,173.220001,106.809998,21.450001,1.738484455,3
2013-10-18,142.95166,85159,2394813121060510,9136575.0,19385680,1149896960644220000,38.35801158,3820865.857142857,126.849998,49.23,21.110001,174.389999,107.040001,21.450001,1.738484455,3
2013-10-19,152.55183,91726,2954943272262410,9131000.0,19435339,1149896960644220000,36.26226694,3824499.2857142864,126.849998,49.23,21.110001,174.389999,107.040001,21.450001,1.738484455,3
2013-10-20,160.33883,72841,2600039713307570,9126025.0,19476267,1149896960644220000,28.48710739,3828132.7142857136,126.849998,49.23,21.110001,174.389999,107.040001,21.450001,1.738484455,3
2013-10-21,164.31499,95520,2774733637107220,9120750.0,19526920,1149896960644220000,37.66450678,3831766.142857143,126.980003,49.009997999999996,21.41,174.399994,106.699997,21.469998999999998,1.738484455,3
2013-10-22,177.63333,108902,3158349275312030,9114625.0,19587580,1149896960644220000,41.68008116,3835399.5714285714,129.33999599999999,49.330002,21.870001000000002,175.41000400000001,107.889999,21.35,1.738484455,3
2013-10-23,188.29716000000002,107064,2927901702890390,9109100.0,19643298,1149896960644220000,45.77781754,3839033.0,128.690002,48.619999,21.75,174.570007,108.309998,21.360001,1.738484455,3
2013-10-24,200.70166,111582,2823299262718900,9103725.0,19703983,1149896960644220000,50.7649601,3839656.2857142864,129.899994,48.919998,21.870001000000002,175.149994,107.889999,21.33,1.738484455,3
2013-10-25,180.355,100390,2979204729134220,9097850.0,19757554,1149896960644220000,51.0751821,3840279.5714285714,130.46000700000002,49.099998,21.709999,175.949997,108.290001,21.34,1.738484455,3
2013-10-26,175.03166000000004,72818,3246407683221270,9093300.0,19795833,1679026357970510000,35.34328044,3840902.857142857,130.46000700000002,49.099998,21.709999,175.949997,108.290001,21.34,1.738484455,3
2013-10-27,177.6965,64388,3462707737504700,9088825.0,19829530,1679026357970510000,57.75029853,3841526.142857143,130.46000700000002,49.099998,21.709999,175.949997,108.290001,21.34,1.738484455,3
2013-10-28,187.15983,85464,3385718875898360,9084450.0,19874304,1679026357970510000,31.18348979,3842149.4285714286,130.559998,49.150002,21.68,176.229996,107.91999799999999,21.379998999999998,1.738484455,3
